player_name,player_country,no_of_matches,no_of_notouts,no_of_runs,highest_innings_score,batting_average,balls_faced,batting_strike_rate,100s,50s,ducks,4s,6s
KJ Abbott,SA,1,-,-,-,-,-,-,-,-,-,-,-
Abdur Razzak,Ban,6,0,0,0,0,1,0,0,0,1,0,0
Aftab Alam,Afg,1,1,0,0,-,1,0,0,0,0,0,0
Ahmed Raza,UAE,2,0,0,0,0,4,0,0,0,1,0,0
Ahmed Shehzad,Pak,4,1,138,111,46,85,162.35,1,0,1,13,5
Aizaz Khan,HK,2,1,1,1,1,4,25,0,0,1,0,0
MM Ali,Eng,7,0,57,36,8.14,55,103.63,0,0,2,8,1
Al-Amin Hossain,Ban,8,1,1,1,1,5,20,0,0,0,0,0
Amir Hamza,Afg,1,-,-,-,-,-,-,-,-,-,-,-
Amjad Ali,UAE,3,0,26,20,8.66,29,89.65,0,0,0,5,0
Amjad Javed,UAE,3,0,29,19,9.66,33,87.87,0,0,0,3,0
HM Amla,SA,7,0,191,56,27.28,153,124.83,0,1,0,22,3
Anamul Haque,Ban,10,2,285,58,35.62,236,120.76,0,1,1,32,11
CJ Anderson,NZ,8,1,62,20,12.4,54,114.81,0,0,1,4,3
Arafat Sunny,Ban,2,0,5,5,5,6,83.33,0,0,0,1,0
Asghar Stanikzai,Afg,2,0,62,49,31,57,108.77,0,0,0,4,1
R Ashwin,India,7,1,2,2,-,3,66.66,0,0,0,0,0
JJ Atkinson,HK,3,0,44,31,14.66,41,107.31,0,0,0,6,1
Babar Hayat,HK,3,0,26,20,8.66,32,81.25,0,0,0,3,0
S Badree,WI,12,2,22,14,22,31,70.96,0,0,0,1,0
GJ Bailey,Aus,9,4,172,60,34.4,109,157.79,0,1,0,13,10
W Barresi,Neth,7,1,143,48,23.83,115,124.34,0,0,0,10,7
F Behardien,SA,3,0,5,5,5,4,125,0,0,0,0,0
IR Bell,Eng,1,0,13,13,13,17,76.47,0,0,0,2,0
TL Best,WI,2,-,-,-,-,-,-,-,-,-,-,-
B Bhandari,Nepal,3,2,5,4,5,12,41.66,0,0,0,1,0
Bilawal Bhatti,Pak,2,1,0,0,-,0,-,0,0,0,0,0
DE Bollinger,Aus,4,2,1,1,-,1,100,0,0,0,0,0
RS Bopara,Eng,12,6,270,65,45,178,151.68,0,1,0,19,12
PW Borren,Neth,7,0,111,49,15.85,92,120.65,0,0,1,15,4
TA Boult,NZ,4,0,8,5,4,13,61.53,0,0,0,0,0
DJ Bravo,WI,13,2,167,46,18.55,134,124.62,0,0,2,13,8
DM Bravo,WI,2,0,44,30,22,35,125.71,0,0,0,1,3
TT Bresnan,Eng,9,3,136,47,27.2,90,151.11,0,0,0,10,6
DR Briggs,Eng,1,1,0,0,-,0,-,0,0,0,0,0
SCJ Broad,Eng,8,2,43,18,10.75,42,102.38,0,0,0,1,2
NB Budayair,Nepal,3,1,2,2,2,4,50,0,0,1,0,0
Mudassar Bukhari,Neth,7,2,30,14,15,38,78.94,0,0,0,1,0
JC Buttler,Eng,12,0,230,67,19.16,199,115.57,0,1,1,19,5
MA Carberry,Eng,1,0,7,7,7,7,100,0,0,0,1,0
LD Chandimal,SL,6,0,40,18,10,37,108.1,0,0,0,3,2
MS Chapman,HK,3,0,56,38,18.66,62,90.32,0,0,0,4,1
J Charles,WI,3,0,27,16,9,29,93.1,0,0,0,5,0
TL Chatara,Zim,3,-,-,-,-,-,-,-,-,-,-,-
E Chigumbura,Zim,3,2,75,53,75,36,208.33,0,1,1,6,5
DT Christian,Aus,4,1,6,6,6,4,150,0,0,1,1,0
BN Cooper,Neth,7,4,49,20,16.33,59,83.05,0,0,0,3,1
TLW Cooper,Neth,7,3,231,72,57.75,168,137.5,0,1,0,22,10
SS Cottrell,WI,3,-,-,-,-,-,-,-,-,-,-,-
NM Coulter-Nile,Aus,7,0,0,0,0,3,0,0,0,1,0,0
AR Cusack,Ire,5,1,8,8,8,7,114.28,0,0,0,1,0
BCJ Cutting,Aus,1,0,29,29,29,16,181.25,0,0,0,1,3
Dawlat Zadran,Afg,3,1,1,1,1,6,16.66,0,0,0,0,0
Q de Kock,SA,7,1,146,41,24.33,125,116.8,0,0,1,11,7
JW Dernbach,Eng,9,1,7,5,3.5,7,100,0,0,0,1,0
AB de Villiers,SA,6,1,140,69,28,89,157.3,0,1,0,15,4
S Dhawan,India,4,0,64,33,16,65,98.46,0,0,1,7,2
MS Dhoni,India,7,4,77,27,77,58,132.75,0,0,0,4,4
TM Dilshan,SL,9,1,149,55,18.62,143,104.19,0,1,2,16,3
GH Dockrell,Ire,5,-,-,-,-,-,-,-,-,-,-,-
JP Duminy,SA,7,2,200,86,50,149,134.22,0,1,0,16,8
F du Plessis,SA,5,1,127,58,31.75,82,154.87,0,1,0,13,5
Ehsan Nawaz,HK,1,-,-,-,-,-,-,-,-,-,-,-
Faizan Asif,UAE,3,0,18,11,6,22,81.81,0,0,0,1,1
Farhad Reza,Ban,5,0,16,9,5.33,21,76.19,0,0,1,1,0
JP Faulkner,Aus,1,0,13,13,13,17,76.47,0,0,0,1,0
AJ Finch,Aus,9,0,294,71,32.66,216,136.11,0,3,0,32,13
ST Finn,Eng,1,-,-,-,-,-,-,-,-,-,-,-
ADS Fletcher,WI,5,0,196,62,39.2,164,119.51,0,2,0,7,11
SP Gauchan,Nepal,3,0,0,0,0,1,0,0,0,1,0,0
CH Gayle,WI,9,0,240,53,30,217,110.59,0,1,0,20,12
Gulbadin Naib,Afg,2,0,21,21,21,22,95.45,0,0,0,3,1
MJ Guptill,NZ,6,0,73,25,12.16,78,93.58,0,0,0,9,1
HF Gurney,Eng,2,-,-,-,-,-,-,-,-,-,-,-
AM Guruge,UAE,2,2,2,1,-,2,100,0,0,0,0,0
BJ Haddin,Aus,6,2,33,15,16.5,27,122.22,0,0,0,2,1
AD Hales,Eng,12,1,397,116,36.09,278,142.8,1,1,1,43,15
Haseeb Amjad,HK,3,3,23,12,-,21,109.52,0,0,0,1,1
JR Hazlewood,Aus,2,-,-,-,-,-,-,-,-,-,-,-
BE Hendricks,SA,5,1,15,12,15,15,100,0,0,0,0,1
MC Henriques,Aus,2,-,-,-,-,-,-,-,-,-,-,-
HMRKB Herath,SL,3,1,1,1,-,1,100,0,0,0,0,0
BJ Hodge,Aus,7,2,89,35,22.25,67,132.83,0,0,0,4,4
GB Hogg,Aus,3,0,3,3,3,3,100,0,0,0,0,0
JO Holder,WI,1,-,-,-,-,-,-,-,-,-,-,-
Imran Tahir,SA,6,2,17,9,-,11,154.54,0,0,0,1,1
Irfan Ahmed,HK,3,0,34,34,11.33,30,113.33,0,0,2,3,3
RA Jadeja,India,7,0,10,7,5,7,142.85,0,0,0,1,0
MAA Jamil,Neth,7,1,1,1,1,3,33.33,0,0,1,0,0
DPMD Jayawardene,SL,6,1,158,89,31.6,126,125.39,0,1,1,20,3
CJ Jordan,Eng,7,2,80,27,20,59,135.59,0,0,0,5,5
EC Joyce,Ire,5,1,143,43,35.75,154,92.85,0,0,0,8,2
Junaid Khan,Pak,1,-,-,-,-,-,-,-,-,-,-,-
Kamran Akmal,Pak,4,0,48,31,12,56,85.71,0,0,1,8,0
