player_name,player_country,no_of_matches,no_of_overs,no_of_maidens,no_of_runs_given,no_of_wkts,bowling_average,economy,bowling_strike_rate,four_wkts_in_a_innings,five_wkts_in_a_innings,catches_taken,stumpings_made
KJ Abbott,SA,1,1,0,5,1,5,5,6,0,0,1,0
Abdur Razzak,Ban,6,15.4,1,99,5,19.8,6.31,18.8,0,0,1,0
Aftab Alam,Afg,1,1,0,15,0,-,15,-,0,0,0,0
Ahmed Raza,UAE,2,4.2,0,45,1,45,10.38,26,0,0,0,0
Ahmed Shehzad,Pak,4,-,-,-,-,-,-,-,-,-,1,0
Aizaz Khan,HK,2,6,0,57,1,57,9.5,36,0,0,1,0
MM Ali,Eng,7,8,0,72,1,72,9,48,0,0,1,0
Al-Amin Hossain,Ban,8,25.3,0,187,10,18.7,7.33,15.3,0,0,1,0
Amir Hamza,Afg,1,4,0,32,2,16,8,12,0,0,0,0
Amjad Ali,UAE,3,-,-,-,-,-,-,-,-,-,0,0
Amjad Javed,UAE,3,8,0,57,1,57,7.12,48,0,0,1,0
HM Amla,SA,7,-,-,-,-,-,-,-,-,-,2,0
Anamul Haque,Ban,10,-,-,-,-,-,-,-,-,-,2,0
CJ Anderson,NZ,8,28,0,240,7,34.28,8.57,24,0,0,8,0
Arafat Sunny,Ban,2,5,0,25,3,8.33,5,10,0,0,0,0
Asghar Stanikzai,Afg,2,-,-,-,-,-,-,-,-,-,2,0
R Ashwin,India,7,27.1,0,161,11,14.63,5.92,14.8,1,0,2,0
JJ Atkinson,HK,3,-,-,-,-,-,-,-,-,-,2,0
Babar Hayat,HK,3,-,-,-,-,-,-,-,-,-,2,0
S Badree,WI,12,47,2,235,19,12.36,5,14.8,1,0,1,0
GJ Bailey,Aus,9,-,-,-,-,-,-,-,-,-,1,0
W Barresi,Neth,7,-,-,-,-,-,-,-,-,-,7,0
F Behardien,SA,3,-,-,-,-,-,-,-,-,-,0,0
IR Bell,Eng,1,-,-,-,-,-,-,-,-,-,0,0
TL Best,WI,2,7,0,77,3,25.66,11,14,0,0,0,0
B Bhandari,Nepal,3,-,-,-,-,-,-,-,-,-,0,0
Bilawal Bhatti,Pak,2,4,0,53,3,17.66,13.25,8,0,0,0,0
DE Bollinger,Aus,4,16,0,117,4,29.25,7.31,24,0,0,2,0
RS Bopara,Eng,12,26,0,165,7,23.57,6.34,22.2,0,0,1,0
PW Borren,Neth,7,9,0,59,1,59,6.55,54,0,0,5,0
TA Boult,NZ,4,16,1,95,8,11.87,5.93,12,0,0,2,0
DJ Bravo,WI,13,33.4,0,281,5,56.2,8.34,40.4,0,0,12,0
DM Bravo,WI,2,-,-,-,-,-,-,-,-,-,2,0
TT Bresnan,Eng,9,28.5,0,277,5,55.4,9.6,34.6,0,0,4,0
DR Briggs,Eng,1,4,0,53,0,-,13.25,-,0,0,0,0
SCJ Broad,Eng,8,25,0,212,8,26.5,8.48,18.7,0,0,1,0
NB Budayair,Nepal,3,-,-,-,-,-,-,-,-,-,0,0
Mudassar Bukhari,Neth,7,21.4,0,145,3,48.33,6.69,43.3,0,0,1,0
JC Buttler,Eng,12,-,-,-,-,-,-,-,-,-,3,1
MA Carberry,Eng,1,-,-,-,-,-,-,-,-,-,1,0
LD Chandimal,SL,6,-,-,-,-,-,-,-,-,-,8,0
MS Chapman,HK,3,-,-,-,-,-,-,-,-,-,0,0
J Charles,WI,3,-,-,-,-,-,-,-,-,-,3,0
TL Chatara,Zim,3,11,0,55,3,18.33,5,22,0,0,0,0
E Chigumbura,Zim,3,-,-,-,-,-,-,-,-,-,3,0
DT Christian,Aus,4,7,0,70,1,70,10,42,0,0,0,0
BN Cooper,Neth,7,-,-,-,-,-,-,-,-,-,2,0
TLW Cooper,Neth,7,7,0,61,3,20.33,8.71,14,0,0,2,0
SS Cottrell,WI,3,9.1,1,70,5,14,7.63,11,0,0,1,0
NM Coulter-Nile,Aus,7,25,0,184,12,15.33,7.36,12.5,1,0,2,0
AR Cusack,Ire,5,17,1,133,7,19,7.82,14.5,1,0,1,0
BCJ Cutting,Aus,1,3,0,18,1,18,6,18,0,0,3,0
Dawlat Zadran,Afg,3,8,0,60,2,30,7.5,24,0,0,1,0
Q de Kock,SA,7,-,-,-,-,-,-,-,-,-,6,2
JW Dernbach,Eng,9,31,1,344,6,57.33,11.09,31,0,0,1,0
AB de Villiers,SA,6,-,-,-,-,-,-,-,-,-,5,0
S Dhawan,India,4,-,-,-,-,-,-,-,-,-,1,0
MS Dhoni,India,7,-,-,-,-,-,-,-,-,-,3,3
TM Dilshan,SL,9,2,0,23,1,23,11.5,12,0,0,3,0
GH Dockrell,Ire,5,15,0,100,4,25,6.66,22.5,0,0,3,0
JP Duminy,SA,7,14,0,134,3,44.66,9.57,28,0,0,1,0
